RRinterval	annotation
930.000000	0
820.000000	0
530.000000	0
330.000000	0
835.000000	0
870.000000	0
825.000000	0
940.000000	0
590.000000	0
325.000000	0
905.000000	0
655.000000	0
295.000000	3
605.000000	0
305.000000	0
930.000000	0
950.000000	0
905.000000	0
885.000000	0
845.000000	0
805.000000	0
445.000000	0
315.000000	0
820.000000	0
570.000000	0
300.000000	0
675.000000	0
290.000000	3
615.000000	0
305.000000	0
870.000000	0
845.000000	0
855.000000	0
880.000000	0
895.000000	0
860.000000	0
885.000000	0
945.000000	0
540.000000	0
325.000000	0
600.000000	0
325.000000	0
595.000000	0
340.000000	0
525.000000	0
325.000000	0
775.000000	0
810.000000	0
910.000000	0
680.000000	0
300.000000	3
650.000000	0
330.000000	0
910.000000	0
795.000000	0
790.000000	0
910.000000	0
870.000000	0
970.000000	0
675.000000	0
335.000000	0
995.000000	0
610.000000	0
335.000000	0
955.000000	0
615.000000	0
340.000000	0
910.000000	0
945.000000	0
960.000000	0
905.000000	0
905.000000	0
910.000000	0
915.000000	0
895.000000	0
620.000000	0
325.000000	0
945.000000	0
910.000000	0
975.000000	0
915.000000	0
595.000000	0
335.000000	0
965.000000	0
895.000000	0
570.000000	0
335.000000	0
940.000000	0
575.000000	0
340.000000	0
945.000000	0
625.000000	0
335.000000	0
925.000000	0
965.000000	0
910.000000	0
570.000000	0
335.000000	0
900.000000	0
550.000000	0
330.000000	0
590.000000	0
330.000000	0
590.000000	0
340.000000	0
840.000000	0
885.000000	0
910.000000	0
855.000000	0
890.000000	0
920.000000	0
850.000000	0
585.000000	0
330.000000	0
980.000000	0
635.000000	0
295.000000	3
990.000000	0
965.000000	0
585.000000	0
345.000000	0
610.000000	0
335.000000	0
575.000000	0
335.000000	0
575.000000	0
335.000000	0
950.000000	0
880.000000	0
595.000000	0
335.000000	0
630.000000	0
350.000000	0
935.000000	0
995.000000	0
635.000000	0
335.000000	0
955.000000	0
625.000000	0
345.000000	0
600.000000	0
350.000000	0
920.000000	0
610.000000	0
345.000000	0
610.000000	0
355.000000	0
920.000000	0
630.000000	0
350.000000	0
620.000000	0
335.000000	0
950.000000	0
615.000000	0
355.000000	0
570.000000	0
350.000000	0
880.000000	0
605.000000	0
335.000000	0
940.000000	0
905.000000	0
