RRinterval	annotation
150.000000	3
2655.000000	3
1000.000000	0
1920.000000	3
980.000000	0
995.000000	0
985.000000	0
980.000000	0
980.000000	0
995.000000	0
985.000000	0
995.000000	0
985.000000	0
995.000000	0
1000.000000	0
995.000000	0
980.000000	0
980.000000	0
1000.000000	0
2000.000000	3
1005.000000	0
2075.000000	3
1040.000000	0
1035.000000	0
1020.000000	0
1050.000000	0
1055.000000	0
1040.000000	3
1020.000000	0
1060.000000	0
1060.000000	3
1035.000000	0
1040.000000	0
1045.000000	3
1060.000000	0
1020.000000	0
1040.000000	0
1060.000000	0
1040.000000	0
1040.000000	3
2095.000000	3
11485.000000	3
11340.000000	3
1020.000000	0
1040.000000	0
1020.000000	0
1000.000000	0
1020.000000	0
1040.000000	0
1040.000000	0
1005.000000	0
1035.000000	0
1025.000000	0
1020.000000	3
1020.000000	0
1035.000000	0
1025.000000	0
1035.000000	0
1040.000000	0
1040.000000	0
1045.000000	0
1035.000000	0
1055.000000	0
1045.000000	0
1060.000000	0
1045.000000	0
1055.000000	0
1045.000000	0
1055.000000	0
1025.000000	0
1020.000000	0
1055.000000	0
1045.000000	0
1075.000000	0
1040.000000	0
1020.000000	0
1045.000000	0
1055.000000	0
1040.000000	0
1040.000000	0
1060.000000	0
1040.000000	0
1030.000000	0
1055.000000	0
1045.000000	0
1055.000000	0
1040.000000	0
1040.000000	0
1045.000000	0
1055.000000	0
1040.000000	0
1045.000000	0
1055.000000	0
1040.000000	0
1040.000000	0
1025.000000	0
1015.000000	0
1000.000000	0
1005.000000	0
1000.000000	0
980.000000	0
995.000000	0
1000.000000	0
985.000000	0
990.000000	0
990.000000	0
1010.000000	0
985.000000	0
1015.000000	0
1025.000000	0
1015.000000	0
1025.000000	0
1040.000000	0
1040.000000	0
1035.000000	0
1040.000000	0
1040.000000	0
1020.000000	0
1020.000000	0
1040.000000	0
1020.000000	0
1040.000000	0
1035.000000	0
1025.000000	0
1045.000000	0
1055.000000	0
1045.000000	0
1060.000000	0
1080.000000	0
1055.000000	0
1060.000000	0
1075.000000	0
1065.000000	0
1035.000000	0
1045.000000	0
1040.000000	0
1040.000000	0
1055.000000	0
1020.000000	0
1020.000000	0
1040.000000	0
1020.000000	0
1040.000000	0
1060.000000	0
1060.000000	0
1040.000000	0
1025.000000	0
1040.000000	0
1035.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1045.000000	0
1035.000000	0
1040.000000	0
1045.000000	0
1050.000000	0
1045.000000	0
1040.000000	0
1040.000000	0
1060.000000	0
1040.000000	0
1015.000000	0
1000.000000	0
1005.000000	0
1015.000000	0
985.000000	0
995.000000	0
1000.000000	0
980.000000	0
1000.000000	0
1000.000000	0
980.000000	0
1000.000000	0
1020.000000	0
1000.000000	0
1005.000000	0
1035.000000	0
1020.000000	0
1005.000000	0
1020.000000	0
1020.000000	0
1015.000000	0
1025.000000	0
1040.000000	0
1025.000000	0
1035.000000	0
1025.000000	0
1035.000000	0
1020.000000	0
1025.000000	0
1015.000000	0
1040.000000	0
1020.000000	0
1020.000000	0
1025.000000	0
1035.000000	0
1020.000000	0
1025.000000	0
1025.000000	0
1015.000000	0
1035.000000	0
1025.000000	0
1020.000000	0
1025.000000	0
1035.000000	0
1020.000000	0
1040.000000	0
1025.000000	0
1020.000000	0
1035.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1035.000000	0
1040.000000	0
1020.000000	0
1040.000000	0
1040.000000	0
1020.000000	0
1005.000000	0
1015.000000	0
1020.000000	0
1025.000000	0
1025.000000	0
1015.000000	0
2060.000000	3
1000.000000	0
995.000000	0
1010.000000	0
1035.000000	0
1000.000000	0
1020.000000	0
1015.000000	0
1000.000000	0
1005.000000	0
1020.000000	0
1020.000000	0
1020.000000	0
1035.000000	0
1025.000000	0
1025.000000	0
1055.000000	0
1025.000000	0
1035.000000	0
1060.000000	0
1040.000000	0
1025.000000	0
1055.000000	0
1060.000000	0
1045.000000	0
1060.000000	0
1060.000000	0
1055.000000	0
1060.000000	0
1080.000000	0
1040.000000	0
1080.000000	0
1065.000000	0
1075.000000	0
1080.000000	0
1080.000000	0
1045.000000	0
1075.000000	0
1060.000000	0
1065.000000	0
1075.000000	0
1075.000000	0
1045.000000	0
1035.000000	0
1065.000000	0
1080.000000	0
1075.000000	0
1055.000000	0
1080.000000	0
1065.000000	0
1060.000000	0
1075.000000	0
1075.000000	0
1065.000000	0
1075.000000	0
1080.000000	0
1060.000000	0
1045.000000	0
1075.000000	0
1060.000000	0
1060.000000	0
1075.000000	0
1065.000000	0
1060.000000	0
1095.000000	0
1085.000000	0
1060.000000	0
1075.000000	0
1080.000000	0
1095.000000	0
1065.000000	0
1055.000000	0
1040.000000	0
1060.000000	0
1060.000000	0
1060.000000	0
1025.000000	0
1040.000000	0
1035.000000	0
995.000000	0
1005.000000	0
1035.000000	0
1025.000000	0
1005.000000	0
990.000000	0
1025.000000	0
1035.000000	0
2020.000000	3
2095.000000	3
1060.000000	0
1045.000000	0
1055.000000	0
1060.000000	0
1080.000000	0
1080.000000	0
1080.000000	0
1080.000000	0
1085.000000	0
1075.000000	0
1100.000000	0
1080.000000	0
1085.000000	0
1090.000000	0
1080.000000	0
1065.000000	0
1045.000000	0
1070.000000	0
1065.000000	0
1075.000000	0
1025.000000	0
1040.000000	0
1035.000000	0
1025.000000	0
1015.000000	0
980.000000	0
1000.000000	0
1105.000000	0
1075.000000	0
1020.000000	0
1005.000000	0
1040.000000	0
1055.000000	0
1045.000000	0
1020.000000	0
1030.000000	0
1065.000000	0
1060.000000	0
1035.000000	0
1040.000000	0
1040.000000	0
1040.000000	0
1020.000000	0
1025.000000	0
980.000000	0
955.000000	0
1085.000000	0
1055.000000	0
1020.000000	0
960.000000	0
1005.000000	0
1080.000000	0
1030.000000	0
985.000000	0
960.000000	0
1025.000000	0
1050.000000	0
1005.000000	0
1020.000000	0
1000.000000	0
1035.000000	0
1025.000000	0
1050.000000	0
1045.000000	0
1040.000000	0
1055.000000	0
1045.000000	0
1060.000000	0
1060.000000	0
1075.000000	0
1080.000000	0
1060.000000	0
1045.000000	0
1015.000000	0
1040.000000	0
1020.000000	0
1040.000000	0
1040.000000	0
1055.000000	0
1040.000000	0
1025.000000	0
1020.000000	0
975.000000	0
1065.000000	0
1095.000000	0
1040.000000	0
1000.000000	0
1005.000000	0
1075.000000	0
1060.000000	0
1025.000000	0
995.000000	0
1065.000000	0
1075.000000	0
1045.000000	0
1035.000000	0
1000.000000	0
985.000000	0
1035.000000	0
1045.000000	0
1035.000000	0
1020.000000	0
1000.000000	0
1020.000000	0
1000.000000	0
975.000000	0
1040.000000	0
970.000000	0
975.000000	0
1015.000000	0
980.000000	0
950.000000	0
995.000000	0
1000.000000	0
955.000000	0
1005.000000	0
980.000000	0
975.000000	0
1020.000000	0
960.000000	0
980.000000	0
980.000000	0
940.000000	0
945.000000	0
975.000000	0
980.000000	0
995.000000	0
970.000000	0
975.000000	0
955.000000	0
945.000000	0
995.000000	0
940.000000	0
965.000000	0
995.000000	0
980.000000	0
1000.000000	0
1005.000000	0
995.000000	0
965.000000	0
975.000000	0
965.000000	0
960.000000	0
975.000000	0
945.000000	0
950.000000	0
950.000000	0
955.000000	0
965.000000	0
1895.000000	3
975.000000	0
940.000000	0
