RRinterval	annotation
1075.000000	0
1050.000000	0
1055.000000	0
1060.000000	0
1025.000000	0
1045.000000	0
1060.000000	0
1045.000000	0
1020.000000	0
1020.000000	0
1035.000000	0
2060.000000	3
1020.000000	0
1025.000000	0
1000.000000	0
1020.000000	0
1035.000000	0
1045.000000	0
1025.000000	3
1035.000000	0
3120.000000	3
1040.000000	0
1045.000000	0
1025.000000	0
1040.000000	0
1070.000000	0
1075.000000	0
1050.000000	0
1065.000000	0
1035.000000	0
1040.000000	0
1035.000000	0
1030.000000	0
1010.000000	0
1030.000000	0
1050.000000	0
1035.000000	0
2055.000000	3
1035.000000	0
1030.000000	3
1030.000000	0
1050.000000	0
1050.000000	0
1040.000000	0
1060.000000	0
1065.000000	0
1060.000000	0
1045.000000	0
4190.000000	3
1020.000000	0
970.000000	0
1915.000000	3
950.000000	0
970.000000	0
1005.000000	3
975.000000	0
1020.000000	0
2015.000000	3
1015.000000	0
1015.000000	3
24905.000000	3
1075.000000	0
1035.000000	0
1035.000000	0
1045.000000	0
1055.000000	0
1020.000000	0
1030.000000	0
1050.000000	0
1015.000000	0
1020.000000	0
1080.000000	0
1075.000000	0
1050.000000	0
1055.000000	0
1085.000000	0
1100.000000	0
1135.000000	0
1120.000000	0
1095.000000	0
1110.000000	0
1100.000000	0
1085.000000	0
1095.000000	0
1060.000000	0
1055.000000	0
1045.000000	0
1020.000000	0
1045.000000	0
1050.000000	0
1055.000000	0
1070.000000	0
1070.000000	0
1065.000000	0
1055.000000	0
1020.000000	0
1035.000000	0
1075.000000	0
1035.000000	0
1085.000000	0
1060.000000	0
1035.000000	0
1080.000000	0
1090.000000	0
1010.000000	0
1035.000000	0
1055.000000	0
1025.000000	0
1035.000000	0
1070.000000	0
1055.000000	0
1080.000000	0
1065.000000	0
1035.000000	0
1040.000000	0
1055.000000	0
1030.000000	0
1050.000000	0
1090.000000	0
1040.000000	0
1070.000000	0
1065.000000	0
1040.000000	0
1065.000000	0
1070.000000	0
1035.000000	0
1040.000000	0
1030.000000	0
1055.000000	0
1070.000000	0
1025.000000	0
1050.000000	0
1035.000000	0
1030.000000	0
1025.000000	0
1060.000000	0
1020.000000	0
1025.000000	0
1075.000000	0
1045.000000	0
1040.000000	0
1075.000000	0
1100.000000	0
1060.000000	0
1065.000000	0
1045.000000	0
1070.000000	0
1065.000000	0
1085.000000	0
1075.000000	0
1055.000000	0
1045.000000	0
1065.000000	0
2100.000000	3
1075.000000	0
1065.000000	0
1045.000000	0
1050.000000	0
1060.000000	0
1045.000000	0
1065.000000	0
1065.000000	0
1030.000000	0
1040.000000	0
1030.000000	0
1020.000000	0
1015.000000	0
1050.000000	0
1050.000000	0
1040.000000	0
1040.000000	0
1060.000000	0
1065.000000	0
1040.000000	0
1050.000000	0
1070.000000	0
1050.000000	0
1030.000000	0
1045.000000	0
1065.000000	0
1060.000000	0
1040.000000	0
1060.000000	0
1070.000000	0
1050.000000	0
1045.000000	0
1085.000000	0
1105.000000	0
1055.000000	0
1060.000000	0
1080.000000	0
1055.000000	0
1065.000000	0
1075.000000	0
1070.000000	0
1025.000000	0
1045.000000	0
1035.000000	0
1035.000000	0
1000.000000	0
1015.000000	0
1035.000000	0
1020.000000	0
1020.000000	0
1030.000000	0
1050.000000	0
1045.000000	0
1030.000000	0
1045.000000	0
1045.000000	0
1035.000000	0
1020.000000	0
1030.000000	0
1065.000000	0
1050.000000	0
1040.000000	0
1055.000000	0
1065.000000	0
1080.000000	0
1075.000000	0
1080.000000	0
1060.000000	0
1070.000000	0
1090.000000	0
1080.000000	0
1075.000000	0
1080.000000	0
995.000000	0
2060.000000	3
1155.000000	0
1065.000000	0
2040.000000	3
995.000000	0
2015.000000	3
1200.000000	0
1100.000000	0
1055.000000	0
2030.000000	3
1980.000000	3
1075.000000	0
1110.000000	0
1135.000000	0
1110.000000	0
1100.000000	0
1085.000000	0
1080.000000	0
1070.000000	0
1055.000000	0
1025.000000	0
1010.000000	0
985.000000	0
970.000000	0
965.000000	0
1905.000000	3
950.000000	0
935.000000	0
1025.000000	0
1040.000000	0
1015.000000	0
